sku,name,price,stock,description
"SKU00000024","Router 104",3218.48,435,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000025","TV 519",680.66,129,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000026","Monitor 877",2823.84,236,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000027","Drone 771",645.91,239,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000028","Laptop 337",948.23,127,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000029","Monitor 255",488.5,219,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000030","Console 786",2812.41,94,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000031","Drone 595",1491.91,314,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000032","Camera 623",4014.47,4,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000033","Monitor 863",3202.09,359,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000034","Speaker 670",3199.19,386,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000035","Monitor 119",2085.05,460,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000036","Camera 949",3394.99,98,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000037","Keyboard 640",3751.35,31,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000038","TV 485",3625.03,420,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000039","Headphones 258",3237.13,211,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000040","Laptop 256",3383.36,25,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000041","Keyboard 450",3286.3,436,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000042","Smartwatch 962",1843.84,129,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000043","Console 313",4798.96,169,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000044","Speaker 740",2613.96,422,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000045","Drone 337",1129.76,258,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000046","Headphones 407",2453.79,191,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000047","Printer 754",463.21,325,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
"SKU00000048","Keyboard 547",4885.51,52,"High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. High quality product with advanced features. "
